Anio,Aereo,Apa Qui,Autoconsumos,Autoproductores,Autoconsumos Energía,Bunker,Canales Informales,CF Agropecuario,CF Comercial & Publico,CF Construcciones,CF Industrial,Cf No Identi,Cod Energetico,Con Final,Con No Ener,Con Pro Elec,Con Pro Hidro,Con Pro Hid Extr,Con Pro Hid Mer,Coq Rf,Ct Carboneras,Ct Cen Aut Cog,Ct Cen Elo,Ct Cen Hidro,Ct Cen Plabio,Ct Cen Sol,Ct Cen Ter,Ct Cen Trat,Ct Coquerias,Ct Plan Des,Ct Refinerias,Insumos Transformaciòn,Desc Energetico,Exportaciones,Ext Primaria Prod Trans,Ferroviario,Fluvial,Importacion,No Aprovechados,Oferta Interna Bruta,Oferta Int Con Final,Perdidas,Productos Transformacion,Reinyeccion,Sigla,Tipo Energetico,Total Carretero,Transferencias,Unidades Originales,Var Inventario
2015,0,0,0,0,0,0,0,0,0,0,1586343,0,14,1586343,0,0,0,0,0,0,5515467,0,0,0,0,0,0,0,0,0,0,0,CARBÓN LEÑA,3931845,5515467,0,0,0,0,1586343,1586343,0,5515467,0,CL,Secundario,0,0,TJ,0
2015,0,5208201338,3935259656,0,3935259656,0,0,0,1529822414,0,8132155321,3539263382,3,2048679784,0,0,0,3121052517,8142071385,3060403527,0,-3874579192,0,0,0,0,-1134461743,-782971682,0,0,0,2304891344,GAS NATURAL,1312843971,8995966072,0,0,0,2625388368,4258107182,1953215838,0,0,395050969,GN,Primario,2918787473,0,Unidad Original,0
2015,0,5208201338,3935259656,0,3935259656,0,0,0,1529822414,0,8132155321,3539263382,3,2048679784,0,0,0,3121052517,8142071385,3060403527,0,-3874579192,0,0,0,0,-1134461743,-782971682,0,0,0,2304891344,GAS NATURAL,1312843971,8995966072,0,0,0,2625388368,4258107182,1953215838,0,0,395050969,GN,Primario,2918787473,0,Mpc,0
2015,0,1255846448,9489037658,0,9489037658,0,0,0,3688839815,0,1960895464,8534177273,3,4939953477,0,0,0,7525751148,1963286511,737950907,0,-9342719687,0,0,0,0,-2735512047,-1887968883,0,0,0,5557752899,GAS NATURAL,3165642668,2169184966,0,0,0,633056298,1026751547,4709762574,0,0,9525809857,GN,Primario,703803222,0,TCal,0
2015,0,525797791,3972870287,0,3972870287,0,0,0,1544443454,0,8209877128,3573089341,3,2068259722,0,0,0,315088149,8219887964,3089652857,0,-3911609879,0,0,0,0,-1145304184,-7904548119,0,0,0,2326919984,GAS NATURAL,1325391272,9081943616,0,0,0,2650480108,4298803378,1971883395,0,0,3988266071,GN,Primario,294668333,0,TJ,0
2015,0,146054942,110357508,0,110357508,0,0,0,4290120705,0,2280521425,9925248169,3,5745165894,0,0,0,8752448585,2283302212,8582369048,0,-10865583,0,0,0,0,-3181400511,-2195707811,0,0,0,6463666621,GAS NATURAL,3681642423,2522762116,0,0,0,7362444746,119411205,5477453874,0,0,1107851686,GN,Primario,8185231472,0,GWh,0
2015,0,1255846448,9489037658,0,9489037658,0,0,0,3688839815,0,1960895464,8534177273,3,4939953477,0,0,0,7525751148,1963286511,737950907,0,-9342719687,0,0,0,0,-2735512047,-1887968883,0,0,0,5557752899,GAS NATURAL,3165642668,2169184966,0,0,0,633056298,1026751547,4709762574,0,0,9525809857,GN,Primario,703803222,0,KTEP,0
2015,0,4983600786,3765553949,0,3765553949,0,0,0,1463849742,0,7781461011,3386634777,3,196033.17,0,0,0,2986459004,7790949451,2928425465,0,-3707490293,0,0,0,0,-1085538762,-7492064989,0,0,0,220549429,GAS NATURAL,1256228364,8608020442,0,0,0,2512170073,407447887,186898458,0,0,3780146334,GN,Primario,2792916518,0,GBTU,0
2015,0,0.85,0,0,0,0,0,0,0,0,99.53,0,15,99.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016.4,0,0,0,COQUE,1916.87,2016.4,0,0,0,0,99.53,99.53,0,2016.4,0,CQ,Secundario,0,0,Unidad Original,0
2015,0,2.65,0,0,0,0,0,0,0,0,459.38,12155.27,16,48801.09,0,0,0,0,0,1.92,0,-2000.31,0,0,0,0,-2181.63,0,0,0,16632.45,4181.95,Diesel Oil,0,16632.45,0,17.85,15581.12,0,35840.39,31658.45,0,16632.45,0,DO,Secundario,35350.65,3626.82,Unidad Original,0
2015,0,0,4679.1,0,4679.1,0,0,0,0,0,3795.21,0,17,3795.21,0,0,4679.1,0,0,750.63,0,8474.32,0,0,0,0,0,0,0,0,0,0,AUTO & COGENERACIÓN,0,8474.32,0,0,0,0,3795.21,3795.21,0,8474.32,0,AUT COG,Secundario,0,0,Unidad Original,0
